experiment,category,classifier,training shape,sample_length,coverage,k,max_depth,n_estimators,score,score type
1.01,multiclass,Random Forest,(undefined),100,1,3,18,20,0.310344828,accuracy
1.01,multiclass,Random Forest,(undefined),100,1,1,6,140,0.310344828,accuracy
1.01,multiclass,Random Forest,(undefined),100,1,3,14,60,0.310344828,accuracy
1.01,multiclass,Random Forest,(undefined),100,1,3,14,180,0.310344828,accuracy
1.01,multiclass,Random Forest,(undefined),100,1,3,18,100,0.310344828,accuracy
1.01,multiclass,Random Forest,(undefined),200,2,1,2,60,0.310344828,accuracy
1.01,multiclass,Random Forest,(undefined),200,2,1,2,140,0.310344828,accuracy
1.01,multiclass,Random Forest,(undefined),200,2,1,6,100,0.310344828,accuracy
1.01,multiclass,Random Forest,(undefined),200,2,1,6,180,0.310344828,accuracy
1.01,multiclass,Random Forest,(undefined),200,2,1,10,100,0.310344828,accuracy
1.01,multiclass,Random Forest,(undefined),200,2,1,10,180,0.310344828,accuracy
1.01,multiclass,Random Forest,(undefined),200,2,1,14,100,0.310344828,accuracy
1.01,multiclass,Random Forest,(undefined),200,2,1,14,180,0.310344828,accuracy
1.01,multiclass,Random Forest,(undefined),200,2,1,18,100,0.310344828,accuracy
1.01,multiclass,Random Forest,(undefined),200,2,1,18,180,0.310344828,accuracy
1.01,multiclass,Random Forest,(undefined),100,1,3,14,20,0.310344828,accuracy
1.01,multiclass,Random Forest,(undefined),100,2,3,6,20,0.309090909,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,5,18,20,0.308823529,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,1,2,100,0.308823529,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,1,2,180,0.308823529,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,3,10,60,0.308823529,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,3,10,140,0.308823529,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,3,18,60,0.308823529,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,5,14,20,0.308823529,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,3,6,60,0.307407407,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,3,18,20,0.303703704,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,3,18,140,0.303703704,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,3,10,140,0.296296296,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,3,10,20,0.296296296,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,1,2,60,0.294117647,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,3,10,180,0.294117647,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,3,18,100,0.294117647,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,5,18,60,0.294117647,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,1,10,20,0.294117647,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,3,2,20,0.294117647,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,3,6,100,0.292592593,accuracy
1.01,multiclass,Random Forest,(undefined),100,2,1,2,140,0.290909091,accuracy
1.01,multiclass,Random Forest,(undefined),100,2,1,2,180,0.290909091,accuracy
1.01,multiclass,Random Forest,(undefined),100,2,1,14,140,0.290909091,accuracy
1.01,multiclass,Random Forest,(undefined),100,2,1,14,180,0.290909091,accuracy
1.01,multiclass,Random Forest,(undefined),100,2,1,18,140,0.290909091,accuracy
1.01,multiclass,Random Forest,(undefined),100,2,1,18,180,0.290909091,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,3,6,180,0.288888889,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,3,10,100,0.288888889,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,3,14,20,0.288888889,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,5,18,20,0.281481481,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,1,2,100,0.281481481,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,3,18,60,0.281481481,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,1,2,140,0.279411765,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,3,6,180,0.279411765,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,3,14,100,0.279411765,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,5,14,100,0.279411765,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,5,18,100,0.279411765,accuracy
1.01,multiclass,Random Forest,(undefined),200,2,1,18,20,0.275862069,accuracy
1.01,multiclass,Random Forest,(undefined),100,1,1,2,180,0.275862069,accuracy
1.01,multiclass,Random Forest,(undefined),100,1,1,6,180,0.275862069,accuracy
1.01,multiclass,Random Forest,(undefined),100,1,1,10,140,0.275862069,accuracy
1.01,multiclass,Random Forest,(undefined),100,1,1,14,140,0.275862069,accuracy
1.01,multiclass,Random Forest,(undefined),100,1,1,18,140,0.275862069,accuracy
1.01,multiclass,Random Forest,(undefined),100,1,3,10,100,0.275862069,accuracy
1.01,multiclass,Random Forest,(undefined),100,1,3,18,140,0.275862069,accuracy
1.01,multiclass,Random Forest,(undefined),100,1,3,18,180,0.275862069,accuracy
1.01,multiclass,Random Forest,(undefined),200,2,1,2,100,0.275862069,accuracy
1.01,multiclass,Random Forest,(undefined),200,2,1,2,180,0.275862069,accuracy
1.01,multiclass,Random Forest,(undefined),200,2,1,6,140,0.275862069,accuracy
1.01,multiclass,Random Forest,(undefined),200,2,1,10,60,0.275862069,accuracy
1.01,multiclass,Random Forest,(undefined),200,2,1,14,60,0.275862069,accuracy
1.01,multiclass,Random Forest,(undefined),200,2,1,18,60,0.275862069,accuracy
1.01,multiclass,Random Forest,(undefined),200,2,1,14,20,0.275862069,accuracy
1.01,multiclass,Random Forest,(undefined),200,2,1,10,20,0.275862069,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,1,2,180,0.274074074,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,3,6,100,0.274074074,accuracy
1.01,multiclass,Random Forest,(undefined),100,2,1,10,140,0.272727273,accuracy
1.01,multiclass,Random Forest,(undefined),100,2,1,10,180,0.272727273,accuracy
1.01,multiclass,Random Forest,(undefined),100,2,3,6,180,0.272727273,accuracy
1.01,multiclass,Random Forest,(undefined),100,2,3,18,140,0.272727273,accuracy
1.01,multiclass,Random Forest,(undefined),100,2,5,14,20,0.272727273,accuracy
1.01,multiclass,Random Forest,(undefined),200,1,3,6,140,0.266666667,accuracy
1.01,multiclass,Random Forest,(undefined),200,1,3,6,180,0.266666667,accuracy
1.01,multiclass,Random Forest,(undefined),200,1,3,10,180,0.266666667,accuracy
1.01,multiclass,Random Forest,(undefined),200,1,3,14,100,0.266666667,accuracy
1.01,multiclass,Random Forest,(undefined),200,1,3,18,100,0.266666667,accuracy
1.01,multiclass,Random Forest,(undefined),400,2,1,2,60,0.266666667,accuracy
1.01,multiclass,Random Forest,(undefined),400,2,1,2,100,0.266666667,accuracy
1.01,multiclass,Random Forest,(undefined),400,2,1,2,140,0.266666667,accuracy
1.01,multiclass,Random Forest,(undefined),400,2,1,6,140,0.266666667,accuracy
1.01,multiclass,Random Forest,(undefined),400,2,1,6,180,0.266666667,accuracy
1.01,multiclass,Random Forest,(undefined),400,2,1,10,140,0.266666667,accuracy
1.01,multiclass,Random Forest,(undefined),400,2,1,10,180,0.266666667,accuracy
1.01,multiclass,Random Forest,(undefined),400,2,1,14,140,0.266666667,accuracy
1.01,multiclass,Random Forest,(undefined),400,2,1,14,180,0.266666667,accuracy
1.01,multiclass,Random Forest,(undefined),400,2,1,18,140,0.266666667,accuracy
1.01,multiclass,Random Forest,(undefined),400,2,1,18,180,0.266666667,accuracy
1.01,multiclass,Random Forest,(undefined),400,2,3,2,100,0.266666667,accuracy
1.01,multiclass,Random Forest,(undefined),400,2,3,14,100,0.266666667,accuracy
1.01,multiclass,Random Forest,(undefined),400,2,3,18,100,0.266666667,accuracy
1.01,multiclass,Random Forest,(undefined),200,1,5,10,20,0.266666667,accuracy
1.01,multiclass,Random Forest,(undefined),200,1,5,6,20,0.266666667,accuracy
1.01,multiclass,Random Forest,(undefined),200,1,9,6,20,0.266666667,accuracy
1.01,multiclass,Random Forest,(undefined),400,2,5,6,20,0.266666667,accuracy
1.01,multiclass,Random Forest,(undefined),400,2,1,2,20,0.266666667,accuracy
1.01,multiclass,Random Forest,(undefined),400,2,5,2,20,0.266666667,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,1,18,20,0.264705882,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,9,18,20,0.264705882,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,3,6,60,0.264705882,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,3,14,60,0.264705882,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,3,14,140,0.264705882,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,5,2,100,0.264705882,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,5,6,100,0.264705882,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,5,10,60,0.264705882,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,5,10,100,0.264705882,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,5,14,60,0.264705882,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,1,14,20,0.264705882,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,5,10,20,0.264705882,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,3,6,20,0.264705882,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,1,2,140,0.259259259,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,3,6,140,0.259259259,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,3,14,60,0.259259259,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,5,18,180,0.259259259,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,5,18,20,0.255555556,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,5,18,180,0.255555556,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,3,6,20,0.255555556,accuracy
1.01,multiclass,Random Forest,(undefined),100,2,5,18,20,0.254545455,accuracy
1.01,multiclass,Random Forest,(undefined),100,2,7,18,20,0.254545455,accuracy
1.01,multiclass,Random Forest,(undefined),100,2,1,2,100,0.254545455,accuracy
1.01,multiclass,Random Forest,(undefined),100,2,1,10,100,0.254545455,accuracy
1.01,multiclass,Random Forest,(undefined),100,2,3,10,100,0.254545455,accuracy
1.01,multiclass,Random Forest,(undefined),100,2,5,10,60,0.254545455,accuracy
1.01,multiclass,Random Forest,(undefined),100,2,5,10,100,0.254545455,accuracy
1.01,multiclass,Random Forest,(undefined),100,2,5,10,140,0.254545455,accuracy
1.01,multiclass,Random Forest,(undefined),100,2,5,10,180,0.254545455,accuracy
1.01,multiclass,Random Forest,(undefined),100,2,5,14,60,0.254545455,accuracy
