experiment,category,classifier,sample_length,coverage,k,max_depth,n_estimators,score
1.01,multiclass,Random Forest,400,2,1,10,180,0.266666667
1.01,multiclass,Random Forest,400,2,1,14,140,0.266666667
1.01,multiclass,Random Forest,400,2,1,14,180,0.266666667
1.01,multiclass,Random Forest,400,2,1,18,140,0.266666667
1.01,multiclass,Random Forest,400,2,1,18,180,0.266666667
1.01,multiclass,Random Forest,400,2,3,2,100,0.266666667
1.01,multiclass,Random Forest,400,2,3,14,100,0.266666667
1.01,multiclass,Random Forest,400,2,3,18,100,0.266666667
1.01,multiclass,Random Forest,400,2,5,2,20,0.266666667
1.01,multiclass,Random Forest,400,2,5,6,20,0.266666667
1.01,multiclass,Random Forest,400,10,1,14,20,0.264705882
1.01,multiclass,Random Forest,400,10,1,18,20,0.264705882
1.01,multiclass,Random Forest,400,10,3,6,20,0.264705882
1.01,multiclass,Random Forest,400,10,3,6,60,0.264705882
1.01,multiclass,Random Forest,400,10,3,14,60,0.264705882
1.01,multiclass,Random Forest,400,10,3,14,140,0.264705882
1.01,multiclass,Random Forest,400,10,5,2,100,0.264705882
1.01,multiclass,Random Forest,400,10,5,6,100,0.264705882
1.01,multiclass,Random Forest,400,10,5,10,20,0.264705882
1.01,multiclass,Random Forest,400,10,5,10,60,0.264705882
1.01,multiclass,Random Forest,400,10,5,10,100,0.264705882
1.01,multiclass,Random Forest,400,10,5,14,60,0.264705882
1.01,multiclass,Random Forest,400,10,9,18,20,0.264705882
1.01,multiclass,Random Forest,200,10,1,2,140,0.259259259
1.01,multiclass,Random Forest,200,10,3,6,140,0.259259259
1.01,multiclass,Random Forest,200,10,3,14,60,0.259259259
1.01,multiclass,Random Forest,200,10,5,18,180,0.259259259
1.01,multiclass,Random Forest,100,10,3,6,20,0.255555556
1.01,multiclass,Random Forest,100,10,5,18,20,0.255555556
1.01,multiclass,Random Forest,100,10,5,18,180,0.255555556
1.01,multiclass,Random Forest,100,2,1,2,100,0.254545455
1.01,multiclass,Random Forest,100,2,1,10,100,0.254545455
1.01,multiclass,Random Forest,100,2,3,10,100,0.254545455
1.01,multiclass,Random Forest,100,2,5,2,20,0.254545455
1.01,multiclass,Random Forest,100,2,5,10,20,0.254545455
1.01,multiclass,Random Forest,100,2,5,10,60,0.254545455
1.01,multiclass,Random Forest,100,2,5,10,100,0.254545455
1.01,multiclass,Random Forest,100,2,5,10,140,0.254545455
1.01,multiclass,Random Forest,100,2,5,10,180,0.254545455
1.01,multiclass,Random Forest,100,2,5,14,60,0.254545455
1.01,multiclass,Random Forest,100,2,5,14,100,0.254545455
1.01,multiclass,Random Forest,100,2,5,14,140,0.254545455
1.01,multiclass,Random Forest,100,2,5,14,180,0.254545455
1.01,multiclass,Random Forest,100,2,5,18,20,0.254545455
1.01,multiclass,Random Forest,100,2,5,18,100,0.254545455
1.01,multiclass,Random Forest,100,2,5,18,140,0.254545455
1.01,multiclass,Random Forest,100,2,7,14,20,0.254545455
1.01,multiclass,Random Forest,100,2,7,18,20,0.254545455
1.01,multiclass,Random Forest,100,10,5,14,100,0.251851852
1.01,multiclass,Random Forest,100,10,5,14,180,0.251851852
1.01,multiclass,Random Forest,200,10,1,2,60,0.251851852
1.01,multiclass,Random Forest,200,10,5,18,100,0.251851852
1.01,multiclass,Random Forest,200,10,5,18,140,0.251851852
1.01,multiclass,Random Forest,100,0.1,1,6,60,0.25
