experiment,category,classifier,sample_length,coverage,k,max_depth,n_estimators,score
1.5,multiclass,Random Forest,200,200,4,50,200,0.707108299
1.5,multiclass,Random Forest,400,200,2,50,3200,0.703125
1.5,multiclass,Random Forest,400,200,2,50,1600,0.70014881
1.5,multiclass,Random Forest,400,200,2,100,1600,0.70014881
1.5,multiclass,Random Forest,400,200,2,200,1600,0.70014881
1.5,multiclass,Random Forest,200,200,4,50,100,0.695943431
1.5,multiclass,Random Forest,400,200,2,50,400,0.694196429
1.5,multiclass,Random Forest,200,200,4,50,50,0.692966133
1.5,multiclass,Random Forest,400,200,2,50,800,0.691964286
1.5,multiclass,Random Forest,400,200,2,100,400,0.683035714
1.5,multiclass,Random Forest,400,200,2,200,400,0.683035714
1.5,multiclass,Random Forest,400,200,2,100,800,0.677827381
1.5,multiclass,Random Forest,400,200,2,200,800,0.677827381
1.5,multiclass,Random Forest,400,200,1,50,1600,0.677083333
1.5,multiclass,Random Forest,400,200,1,100,1600,0.677083333
1.5,multiclass,Random Forest,400,200,1,200,1600,0.677083333
1.5,multiclass,Random Forest,400,200,1,50,3200,0.676339286
1.5,multiclass,Random Forest,400,200,1,100,3200,0.676339286
1.5,multiclass,Random Forest,400,200,1,200,3200,0.676339286
1.5,multiclass,Random Forest,400,200,1,50,800,0.66889881
1.5,multiclass,Random Forest,400,200,1,100,800,0.66889881
1.5,multiclass,Random Forest,400,200,1,200,800,0.66889881
1.5,multiclass,Random Forest,400,200,1,50,200,0.65922619
1.5,multiclass,Random Forest,400,200,1,100,200,0.65922619
1.5,multiclass,Random Forest,400,200,1,200,200,0.65922619
1.5,multiclass,Random Forest,400,200,1,50,400,0.657738095
1.5,multiclass,Random Forest,400,200,1,100,400,0.657738095
1.5,multiclass,Random Forest,400,200,1,200,400,0.657738095
1.5,multiclass,Random Forest,400,200,2,50,200,0.654761905
1.5,multiclass,Random Forest,400,200,2,100,200,0.65327381
1.5,multiclass,Random Forest,400,200,2,200,200,0.65327381
1.5,multiclass,Random Forest,100,200,6,200,3200,0.642724228
1.5,multiclass,Random Forest,400,200,1,50,100,0.642113095
1.5,multiclass,Random Forest,400,200,1,100,100,0.642113095
1.5,multiclass,Random Forest,400,200,1,200,100,0.642113095
1.5,multiclass,Random Forest,400,200,2,50,100,0.642113095
1.5,multiclass,Random Forest,100,200,6,200,800,0.641607741
1.5,multiclass,Random Forest,100,200,6,200,200,0.641235579
1.5,multiclass,Random Forest,100,200,6,200,400,0.641235579
1.5,multiclass,Random Forest,100,200,6,200,1600,0.640491254
1.5,multiclass,Random Forest,100,200,6,200,50,0.640119092
1.5,multiclass,Random Forest,100,200,6,200,100,0.639933011
1.5,multiclass,Random Forest,400,200,2,100,100,0.634672619
1.5,multiclass,Random Forest,400,200,2,200,100,0.634672619
1.5,multiclass,Random Forest,400,200,4,200,400,0.627232143
1.5,multiclass,Random Forest,400,200,4,200,3200,0.626488095
1.5,multiclass,Random Forest,400,200,4,200,1600,0.623511905
1.5,multiclass,Random Forest,400,200,4,200,800,0.622767857
1.5,multiclass,Random Forest,400,200,2,100,50,0.616815476
1.5,multiclass,Random Forest,400,200,2,200,50,0.616815476
1.5,multiclass,Random Forest,400,200,2,50,50,0.616071429
1.5,multiclass,Random Forest,400,200,4,100,3200,0.613095238
1.5,multiclass,Random Forest,400,200,4,100,1600,0.608630952
1.5,multiclass,Random Forest,400,200,4,200,200,0.605654762
1.5,multiclass,Random Forest,400,200,1,50,50,0.603422619
1.5,multiclass,Random Forest,400,200,1,100,50,0.603422619
1.5,multiclass,Random Forest,400,200,1,200,50,0.603422619
1.5,multiclass,Random Forest,200,200,6,200,200,0.598809081
1.5,multiclass,Random Forest,200,200,6,200,800,0.598064756
1.5,multiclass,Random Forest,400,200,4,50,400,0.59672619
1.5,multiclass,Random Forest,400,200,4,50,1600,0.59672619
