experiment,category,classifier,training shape,sample_length,coverage,k,penalty,multi_class,class_weight,score,score type
7.04,multiclass,Logistic Regression (sklearn),"(21817, 59669)",100,400,12,l2,ovr,,0.9512422071275705,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(29, 800)",200,1,1,l2,ovr,,0.3333333333333333,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(29, 1444)",200,1,2,l2,ovr,,0.13333333333333333,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(29, 1910)",200,1,4,l2,ovr,,0.06666666666666667,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(29, 1429)",200,1,6,l2,ovr,,0.06666666666666667,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(29, 1096)",200,1,8,l2,ovr,,0.13333333333333333,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(29, 878)",200,1,10,l2,ovr,,0.13333333333333333,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(29, 703)",200,1,12,l2,ovr,,0.06666666666666667,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(274, 800)",200,10,1,l2,ovr,,0.45925925925925926,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(274, 1600)",200,10,2,l2,ovr,,0.37777777777777777,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(274, 9082)",200,10,4,l2,ovr,,0.32592592592592595,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(274, 11985)",200,10,6,l2,ovr,,0.34074074074074073,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(274, 9852)",200,10,8,l2,ovr,,0.28888888888888886,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(274, 7945)",200,10,10,l2,ovr,,0.24444444444444444,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(274, 6361)",200,10,12,l2,ovr,,0.2814814814814815,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(2727, 800)",200,100,1,l2,ovr,,0.546875,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(2727, 1600)",200,100,2,l2,ovr,,0.6309523809523809,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(2727, 12772)",200,100,4,l2,ovr,,0.6986607142857143,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(2727, 60742)",200,100,6,l2,ovr,,0.6331845238095238,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(2727, 71903)",200,100,8,l2,ovr,,0.5200892857142857,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(2727, 60817)",200,100,10,l2,ovr,,0.4806547619047619,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(2727, 48991)",200,100,12,l2,ovr,,0.49702380952380953,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(5454, 800)",200,200,1,l2,ovr,,0.5846669147748418,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(5454, 1600)",200,200,2,l2,ovr,,0.7391142538146632,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(5454, 12799)",200,200,4,l2,ovr,,0.8049869743208039,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(5454, 77930)",200,200,6,l2,ovr,,0.7506512839598065,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(5454, 108026)",200,200,8,l2,ovr,,0.6944547822850763,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(5454, 94148)",200,200,10,l2,ovr,,0.6814291030889468,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(5454, 76066)",200,200,12,l2,ovr,,0.6628209899516189,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(10908, 800)",200,400,1,l2,ovr,,0.6016002977298102,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(10908, 1600)",200,400,2,l2,ovr,,0.8183848157796799,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(10908, 12800)",200,400,4,l2,ovr,,0.9201711946408634,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(10908, 88349)",200,400,6,l2,ovr,,0.8980275400074432,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(10908, 136646)",200,400,8,l2,ovr,,0.8583922590249349,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(10908, 121850)",200,400,10,l2,ovr,,0.8608113137327875,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(10908, 98704)",200,400,12,l2,ovr,,0.8556010420543357,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(15, 1592)",400,1,1,l2,ovr,,0.25,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(15, 2327)",400,1,2,l2,ovr,,0.25,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(15, 2146)",400,1,4,l2,ovr,,0.125,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(15, 1511)",400,1,6,l2,ovr,,0.125,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(15, 1150)",400,1,8,l2,ovr,,0.125,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(15, 920)",400,1,10,l2,ovr,,0.125,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(15, 759)",400,1,12,l2,ovr,,0.25,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(137, 1600)",400,10,1,l2,ovr,,0.5294117647058824,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(137, 3199)",400,10,2,l2,ovr,,0.45588235294117646,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(137, 12558)",400,10,4,l2,ovr,,0.38235294117647056,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(137, 12586)",400,10,6,l2,ovr,,0.2647058823529412,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(137, 10003)",400,10,8,l2,ovr,,0.08823529411764706,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(137, 8033)",400,10,10,l2,ovr,,0.22058823529411764,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(137, 6631)",400,10,12,l2,ovr,,0.23529411764705882,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(1364, 1600)",400,100,1,l2,ovr,,0.6270430906389302,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(1364, 3200)",400,100,2,l2,ovr,,0.6864784546805349,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(1364, 25059)",400,100,4,l2,ovr,,0.6656760772659732,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(1364, 80853)",400,100,6,l2,ovr,,0.5022288261515602,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(1364, 81580)",400,100,8,l2,ovr,,0.4710252600297177,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(1364, 67552)",400,100,10,l2,ovr,,0.424962852897474,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(1364, 55940)",400,100,12,l2,ovr,,0.4101040118870728,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(2727, 1600)",400,200,1,l2,ovr,,0.7008928571428571,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(2727, 3200)",400,200,2,l2,ovr,,0.7388392857142857,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(2727, 25514)",400,200,4,l2,ovr,,0.796875,species_recall
7.04,multiclass,Logistic Regression (sklearn),"(2727, 117598)",400,200,6,l2,ovr,,0.6525297619047619,species_recall
