experiment,category,classifier,training shape,sample_length,coverage,k,eta,epsilon,penalty,l2_lambda,max_iter,score,score type
16.05,multiclass,Logistic Regression,"(314, 4647)",100,1,10,0.1,0.01,none,0,200,0.264516129,species_recall
16.05,multiclass,Logistic Regression,"(314, 3720)",100,1,12,0.1,0.01,none,0,200,0.24516129,species_recall
16.05,multiclass,Logistic Regression,"(3073, 400)",100,10,1,0.1,0.01,none,0,200,0.058745875,species_recall
16.05,multiclass,Logistic Regression,"(3073, 800)",100,10,2,0.1,0.01,none,0,200,0.2330033,species_recall
16.05,multiclass,Logistic Regression,"(3073, 6399)",100,10,4,0.1,0.01,none,0,200,0.343234323,species_recall
16.05,multiclass,Logistic Regression,"(3073, 37086)",100,10,6,0.1,0.01,none,0,200,0.330693069,species_recall
16.05,multiclass,Logistic Regression,"(3073, 48202)",100,10,8,0.1,0.01,none,0,200,0.308250825,species_recall
16.05,multiclass,Logistic Regression,"(3073, 43049)",100,10,10,0.1,0.01,none,0,200,0.258745875,species_recall
16.05,multiclass,Logistic Regression,"(3073, 34667)",100,10,12,0.1,0.01,none,0,200,0.318811881,species_recall
16.05,multiclass,Logistic Regression,"(30676, 400)",100,100,1,0.1,0.01,none,0,200,0.264725347,species_recall
16.05,multiclass,Logistic Regression,"(30676, 800)",100,100,2,0.1,0.01,none,0,200,0.264990073,species_recall
16.05,multiclass,Logistic Regression,"(30676, 6400)",100,100,4,0.1,0.01,none,0,200,0.25393779,species_recall
16.05,multiclass,Logistic Regression,"(30676, 63267)",100,100,6,0.1,0.01,none,0,200,0.313699537,species_recall
16.05,multiclass,Logistic Regression,"(30676, 224641)",100,100,8,0.1,0.01,none,0,200,0.270350761,species_recall
16.05,multiclass,Logistic Regression,"(30676, 255151)",100,100,10,0.1,0.01,none,0,200,0.411515553,species_recall
16.05,multiclass,Logistic Regression,"(30676, 212165)",100,100,12,0.1,0.01,none,0,200,0.427531436,species_recall
16.05,multiclass,Logistic Regression,"(61353, 400)",100,200,1,0.1,0.01,none,0,200,0.263178795,species_recall
16.05,multiclass,Logistic Regression,"(61353, 800)",100,200,2,0.1,0.01,none,0,200,0.26327807,species_recall
16.05,multiclass,Logistic Regression,"(61353, 6400)",100,200,4,0.1,0.01,none,0,200,0.180879579,species_recall
16.05,multiclass,Logistic Regression,"(61353, 64335)",100,200,6,0.1,0.01,none,0,200,0.327178265,species_recall
16.05,multiclass,Logistic Regression,"(61353, 273705)",100,200,8,0.1,0.01,none,0,200,0.269267679,species_recall
16.05,multiclass,Logistic Regression,"(61353, 334052)",100,200,10,0.1,0.01,none,0,200,0.314702671,species_recall
16.05,multiclass,Logistic Regression,"(61353, 281009)",100,200,12,0.1,0.01,none,0,200,0.304973692,species_recall
16.05,multiclass,Logistic Regression,"(122706, 400)",100,400,1,0.1,0.01,none,0,200,0.261276018,species_recall
16.05,multiclass,Logistic Regression,"(122706, 800)",100,400,2,0.1,0.01,none,0,200,0.260647275,species_recall
16.05,multiclass,Logistic Regression,"(122706, 6400)",100,400,4,0.1,0.01,none,0,200,0.031023528,species_recall
16.05,multiclass,Logistic Regression,"(122706, 64566)",100,400,6,0.1,0.01,none,0,200,0.039081373,species_recall
16.05,multiclass,Logistic Regression,"(122706, 293797)",100,400,8,0.1,0.01,none,0,200,0.027929448,species_recall
16.05,multiclass,Logistic Regression,"(122706, 369189)",100,400,10,0.1,0.01,none,0,200,0.082994143,species_recall
16.05,multiclass,Logistic Regression,"(122706, 312079)",100,400,12,0.1,0.01,none,0,200,0.168238525,species_recall
16.05,multiclass,Logistic Regression,"(160, 800)",200,1,1,0.1,0.01,none,0,200,0.2625,species_recall
16.05,multiclass,Logistic Regression,"(160, 1600)",200,1,2,0.1,0.01,none,0,200,0.175,species_recall
16.05,multiclass,Logistic Regression,"(160, 7144)",200,1,4,0.1,0.01,none,0,200,0.325,species_recall
16.05,multiclass,Logistic Regression,"(160, 7528)",200,1,6,0.1,0.01,none,0,200,0.2625,species_recall
16.05,multiclass,Logistic Regression,"(160, 5983)",200,1,8,0.1,0.01,none,0,200,0.2375,species_recall
16.05,multiclass,Logistic Regression,"(160, 4800)",200,1,10,0.1,0.01,none,0,200,0.1875,species_recall
16.05,multiclass,Logistic Regression,"(160, 3840)",200,1,12,0.1,0.01,none,0,200,0.225,species_recall
16.05,multiclass,Logistic Regression,"(1541, 800)",200,10,1,0.1,0.01,none,0,200,0.160737813,species_recall
16.05,multiclass,Logistic Regression,"(1541, 1600)",200,10,2,0.1,0.01,none,0,200,0.339920949,species_recall
16.05,multiclass,Logistic Regression,"(1541, 12742)",200,10,4,0.1,0.01,none,0,200,0.266139657,species_recall
16.05,multiclass,Logistic Regression,"(1541, 50497)",200,10,6,0.1,0.01,none,0,200,0.130434783,species_recall
16.05,multiclass,Logistic Regression,"(1541, 53706)",200,10,8,0.1,0.01,none,0,200,0.27140975,species_recall
16.05,multiclass,Logistic Regression,"(1541, 44597)",200,10,10,0.1,0.01,none,0,200,0.234519104,species_recall
16.05,multiclass,Logistic Regression,"(1541, 35786)",200,10,12,0.1,0.01,none,0,200,0.305665349,species_recall
