experiment,category,classifier,training shape,sample_length,coverage,k,penalty,multi_class,class_weight,solver,score,score type
17.02,multiclass,Logistic Regression (sklearn),"(274, 9864)",200,10,8,l2,auto,none,lbfgs,0.281481481,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(274, 7937)",200,10,10,l2,auto,none,lbfgs,0.22962963,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(274, 6358)",200,10,12,l2,auto,none,lbfgs,0.237037037,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(2727, 800)",200,100,1,l2,auto,none,lbfgs,0.566220238,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(2727, 1600)",200,100,2,l2,auto,none,lbfgs,0.663690476,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(2727, 12767)",200,100,4,l2,auto,none,lbfgs,0.676339286,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(2727, 60808)",200,100,6,l2,auto,none,lbfgs,0.584821429,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(2727, 71893)",200,100,8,l2,auto,none,lbfgs,0.538690476,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(2727, 61029)",200,100,10,l2,auto,none,lbfgs,0.497767857,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(2727, 49141)",200,100,12,l2,auto,none,lbfgs,0.498511905,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(5454, 800)",200,200,1,l2,auto,none,lbfgs,0.612579084,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(5454, 1600)",200,200,2,l2,auto,none,lbfgs,0.736136956,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(5454, 12792)",200,200,4,l2,auto,none,lbfgs,0.79940454,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(5454, 78754)",200,200,6,l2,auto,none,lbfgs,0.743580201,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(5454, 110065)",200,200,8,l2,auto,none,lbfgs,0.68589505,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(5454, 96151)",200,200,10,l2,auto,none,lbfgs,0.66617045,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(5454, 77700)",200,200,12,l2,auto,none,lbfgs,0.644957201,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(10908, 800)",200,400,1,l2,auto,none,lbfgs,0.618533681,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(10908, 1600)",200,400,2,l2,auto,none,lbfgs,0.881466319,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(10908, 12799)",200,400,4,l2,auto,none,lbfgs,0.909378489,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(10908, 89514)",200,400,6,l2,auto,none,lbfgs,0.902679568,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(10908, 139968)",200,400,8,l2,auto,none,lbfgs,0.861927801,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(10908, 125173)",200,400,10,l2,auto,none,lbfgs,0.846855229,species_recall
