experiment,category,classifier,training shape,sample_length,coverage,k,penalty,multi_class,class_weight,solver,score,score type
17.06,multiclass,Logistic Regression (sklearn),"(122706, 400)",100,400,1,l2,ovr,,liblinear,0.3980442767795096,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(122706, 800)",100,400,2,l2,ovr,,liblinear,0.4417750421919984,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(122706, 6400)",100,400,4,l2,ovr,,liblinear,0.7380290545683179,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(122706, 64573)",100,400,6,l2,ovr,,liblinear,0.9282074191733678,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(122706, 293876)",100,400,8,l2,ovr,,liblinear,0.9284556073993183,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(122706, 369299)",100,400,10,l2,ovr,,liblinear,0.925692445150402,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(122706, 312190)",100,400,12,l2,ovr,,liblinear,0.9282405109368278,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(160, 800)",200,1,1,l2,ovr,,liblinear,0.275,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(160, 1600)",200,1,2,l2,ovr,,liblinear,0.275,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(160, 7088)",200,1,4,l2,ovr,,liblinear,0.3375,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(160, 7449)",200,1,6,l2,ovr,,liblinear,0.3125,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(160, 5936)",200,1,8,l2,ovr,,liblinear,0.2125,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(160, 4774)",200,1,10,l2,ovr,,liblinear,0.325,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(160, 3821)",200,1,12,l2,ovr,,liblinear,0.2875,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(1541, 800)",200,10,1,l2,ovr,,liblinear,0.28063241106719367,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(1541, 1600)",200,10,2,l2,ovr,,liblinear,0.3386034255599473,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(1541, 12728)",200,10,4,l2,ovr,,liblinear,0.3544137022397892,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(1541, 50215)",200,10,6,l2,ovr,,liblinear,0.3188405797101449,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(1541, 53397)",200,10,8,l2,ovr,,liblinear,0.2740447957839262,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(1541, 44411)",200,10,10,l2,ovr,,liblinear,0.30434782608695654,species_recall
17.06,multiclass,Logistic Regression (sklearn),"(1541, 35649)",200,10,12,l2,ovr,,liblinear,0.2924901185770751,species_recall
