taxid.species,sequence_length,n_species_samples,n_samples_coverage_1
160,239246,9,
160,239623,9,
160,240661,9,
160,242436,9,
160,246023,9,
160,248150,9,
160,248150,9,
1604,250948,3,
1604,251926,3,
1604,256269,3,
1613,257956,2,
1613,265886,2,
161493,266785,1,
1624,270022,4,
1624,270082,4,
1624,270082,4,
1624,271577,4,
1639,272145,47,
1639,276571,47,
1639,276571,47,
1639,277995,47,
1639,281231,47,
1639,285459,47,
1639,294782,47,
1639,299762,47,
1639,302599,47,
1639,308747,47,
1639,312963,47,
1639,321744,47,
1639,328151,47,
1639,349599,47,
1639,350181,47,
1639,350312,47,
1639,353865,47,
1639,359372,47,
1639,366576,47,
1639,371254,47,
1639,380207,47,
1639,414090,47,
1639,424140,47,
1639,429111,47,
1639,440026,47,
1639,466370,47,
1639,501911,47,
1639,501946,47,
1639,505334,47,
1639,516088,47,
1639,642517,47,
1639,660973,47,
1639,828924,47,
1639,875977,47,
1639,902191,47,
1639,910724,47,
1639,922801,47,
1639,946986,47,
1639,988135,47,
1639,1004014,47,
1639,1008951,47,
1639,1012027,47,
1639,1038313,47,
1639,1038442,47,
1639,1038541,47,
1639,1038718,47,
1639,1038720,47,
1681,1038746,2,
1681,1038792,2,
1685,1038797,1,
1717,1038817,12,
1717,1038819,12,
1717,1038839,12,
1717,1038839,12,
1717,1038842,12,
1717,1038842,12,
1717,1038842,12,
1717,1038848,12,
1717,1038863,12,
1717,1038864,12,
1717,1038864,12,
1717,1038864,12,
1718,1038864,6,
1718,1038870,6,
1718,1038876,6,
1718,1038879,6,
1718,1038881,6,
1718,1039084,6,
1719,1039257,14,
1719,1039261,14,
1719,1039428,14,
1719,1042140,14,
1719,1042171,14,
1719,1042354,14,
1719,1042447,14,
1719,1042519,14,
1719,1042520,14,
1719,1042522,14,
1719,1042560,14,
1719,1042585,14,
1719,1042589,14,
1719,1042625,14,
172,1042630,3,
172,1042736,3,
172,1042743,3,
173,1042783,4,
173,1042789,4,
173,1042810,4,
173,1042811,4,
174,1042839,2,
174,1042853,2,
1747,1042875,10,
1747,1042903,10,
1747,1042996,10,
1747,1043022,10,
1747,1043022,10,
1747,1043025,10,
1747,1043554,10,
1747,1044023,10,
1747,1044026,10,
1747,1044282,10,
1764,1044325,2,
1764,1044326,2,
1765,1044352,4,
1765,1044377,4,
1765,1044459,4,
1765,1046087,4,
1767,1046171,2,
1767,1046365,2,
1769,1046382,1,
1772,1048812,2,
1772,1055417,2,
1773,1061854,22,
1773,1072136,22,
1773,1080953,22,
1773,1083842,22,
1773,1083893,22,
1773,1086784,22,
1773,1091523,22,
1773,1104552,22,
1773,1106409,22,
1773,1106534,22,
1773,1108250,22,
1773,1109051,22,
1773,1109301,22,
1773,1109804,22,
1773,1111222,22,
1773,1111454,22,
1773,1111520,22,
1773,1111523,22,
1773,1111612,22,
1773,1111969,22,
1773,1112101,22,
1773,1112372,22,
1804,1112957,3,
1804,1138011,3,
1804,1139281,3,
1833,1139330,4,
1833,1139417,4,
1833,1139633,4,
1833,1139744,4,
191026,1139971,2,
191026,1140038,2,
1912,1140481,3,
1912,1140789,3,
1912,1147152,3,
195,1150228,3,
195,1153998,3,
195,1155937,3,
196,1156948,1,
197,1157385,21,
197,1160316,21,
197,1161385,21,
197,1161434,21,
197,1161449,21,
197,1162204,21,
197,1163362,21,
197,1168150,21,
197,1168490,21,
197,1169374,21,
197,1170489,21,
197,1171011,21,
197,1171660,21,
197,1171667,21,
197,1172032,21,
197,1172064,21,
197,1172182,21,
197,1172197,21,
197,1172265,21,
197,1176758,21,
197,1185518,21,
2096,1185615,1,
210,1185778,74,
210,1196760,74,
210,1197687,74,
210,1198622,74,
210,1207451,74,
210,1211703,74,
210,1224595,74,
210,1226565,74,
210,1227328,74,
210,1229853,74,
210,1230230,74,
210,1241020,74,
210,1255681,74,
210,1257710,74,
210,1263719,74,
210,1266105,74,
210,1267197,74,
210,1269774,74,
210,1269837,74,
210,1270083,74,
210,1270751,74,
210,1275089,74,
210,1281472,74,
210,1301823,74,
210,1312480,74,
210,1352561,74,
210,1354226,74,
210,1400844,74,
210,1471282,74,
210,1473302,74,
210,1477581,74,
210,1494183,74,
210,1499175,74,
210,1499920,74,
210,1528980,74,
210,1549666,74,
210,1559666,74,
210,1560342,74,
210,1562832,74,
210,1566655,74,
210,1568826,74,
210,1570564,74,
210,1575399,74,
210,1576758,74,
210,1578824,74,
210,1584486,74,
210,1587646,74,
210,1588278,74,
210,1589954,74,
210,1591278,74,
210,1596366,74,
210,1599280,74,
210,1599441,74,
210,1601149,74,
210,1604216,74,
210,1607577,74,
210,1608548,74,
210,1609006,74,
210,1614447,74,
210,1615143,74,
210,1616209,74,
210,1616554,74,
210,1616617,74,
210,1616648,74,
210,1616909,74,
210,1617426,74,
210,1622903,74,
210,1624644,74,
210,1624979,74,
210,1628115,74,
210,1629557,74,
210,1632395,74,
210,1633319,74,
210,1634138,74,
2102,1635045,3,
2102,1635252,3,
2102,1635449,3,
2105,1641481,1,
2115,1641481,1,
213,1643831,1,
216816,1646139,16,
216816,1652982,16,
216816,1653913,16,
216816,1657873,16,
216816,1658051,16,
216816,1658751,16,
216816,1660425,16,
216816,1660469,16,
216816,1660685,16,
216816,1661137,16,
216816,1663456,16,
216816,1664587,16,
216816,1664792,16,
216816,1664840,16,
216816,1664896,16,
216816,1665719,16,
2209,1667867,1,
2261,1667883,1,
2285,1667890,3,
2285,1667892,3,
2285,1669329,3,
2287,1673813,1,
235,1673997,6,
235,1675918,6,
235,1680879,6,
235,1681364,6,
235,1683333,6,
235,1683348,6,
24,1690594,1,
263,1692823,14,
263,1702398,14,
263,1709911,14,
263,1718980,14,
263,1734922,14,
263,1746697,14,
263,1750832,14,
263,1755993,14,
263,1772694,14,
263,1775480,14,
263,1777831,14,
263,1780761,14,
263,1781029,14,
263,1796226,14,
274,1806995,7,
274,1813033,7,
274,1815785,7,
274,1818351,7,
274,1819370,7,
274,1820886,7,
274,1827111,7,
2743,1827308,3,
2743,1830138,3,
2743,1831128,3,
28025,1831949,11,
28025,1836467,11,
28025,1837281,11,
28025,1838554,11,
28025,1838867,11,
28025,1841271,11,
28025,1844830,11,
28025,1845106,11,
28025,1847202,11,
28025,1848520,11,
28025,1856176,11,
28035,1856368,1,
28197,1856951,2,
28197,1857073,2,
283734,1860355,1,
28450,1861334,15,
28450,1863201,15,
28450,1864998,15,
28450,1872918,15,
28450,1877212,15,
28450,1886888,15,
28450,1887192,15,
28450,1887251,15,
28450,1890909,15,
28450,1892616,15,
28450,1892681,15,
28450,1892744,15,
28450,1892775,15,
28450,1893886,15,
28450,1894157,15,
287,1894275,15,
287,1894401,15,
287,1894877,15,
287,1895017,15,
287,1895727,15,
287,1895994,15,
287,1897573,15,
287,1898476,15,
287,1899877,15,
287,1900521,15,
287,1902595,15,
287,1908256,15,
287,1910031,15,
287,1911706,15,
287,1923763,15,
294,1928252,4,
294,1929905,4,
294,1932306,4,
294,1932693,4,
29449,1933610,11,
29449,1933695,11,
29449,1935662,11,
29449,1937111,11,
29449,1938483,11,
29449,1938583,11,
29449,1938595,11,
29449,1938606,11,
29449,1938709,11,
29449,1938822,11,
29449,1942198,11,
29459,1943113,8,
29459,1945310,8,
29459,1947646,8,
29459,1947706,8,
29459,1963012,8,
29459,1966342,8,
29459,1968651,8,
29459,1980887,8,
29461,1981535,4,
29461,1985832,4,
29461,1991156,4,
29461,1991579,4,
29501,1993560,1,
300,1996214,1,
303,1999618,11,
303,2007018,11,
303,2007491,11,
303,2013587,11,
303,2024171,11,
303,2024476,11,
303,2026239,11,
303,2026505,11,
303,2027088,11,
303,2028815,11,
303,2032925,11,
315405,2034321,2,
315405,2036867,2,
316,2037254,8,
316,2038034,8,
316,2038146,8,
316,2038396,8,
316,2038409,8,
316,2038615,8,
316,2039414,8,
316,2046115,8,
32046,2061920,2,
32046,2063112,2,
339,2064154,3,
339,2076397,3,
339,2078953,3,
33959,2080931,5,
33959,2091879,5,
33959,2093317,5,
33959,2095698,5,
33959,2095898,5,
33990,2096125,1,
34021,2096309,1,
346,2096866,3,
346,2098685,3,
346,2100449,3,
347,2106340,3,
347,2107023,3,
347,2108637,3,
35554,2109759,1,
35791,2111882,2,
35791,2112148,2,
35794,2117717,1,
36809,2117718,3,
36809,2120234,3,
36809,2121359,3,
36855,2122487,2,
36855,2124241,2,
380,2125701,35,
380,2126133,35,
380,2126451,35,
380,2127839,35,
380,2129206,35,
380,2129934,35,
380,2130580,35,
380,2131190,35,
380,2133496,35,
380,2137435,35,
380,2138694,35,
380,2142122,35,
380,2145295,35,
380,2145445,35,
380,2145902,35,
380,2146229,35,
380,2149868,35,
380,2153416,35,
380,2153922,35,
380,2159491,35,
380,2160267,35,
380,2160842,35,
380,2167264,35,
380,2171609,35,
380,2176362,35,
380,2177656,35,
380,2179445,35,
380,2183059,35,
380,2184406,35,
380,2184682,35,
380,2184862,35,
380,2194961,35,
380,2209198,35,
380,2210574,35,
380,2211485,35,
380021,2214656,1,
382,2221315,21,
382,2223518,21,
382,2223664,21,
382,2223983,21,
382,2225962,21,
382,2227255,21,
382,2232025,21,
382,2240045,21,
382,2240130,21,
382,2240234,21,
382,2240883,21,
382,2242062,21,
382,2242947,21,
382,2245615,21,
382,2250449,21,
382,2256640,21,
382,2256675,21,
382,2265943,21,
382,2272360,21,
382,2277550,21,
382,2279118,21,
384,2287777,11,
384,2291220,11,
384,2297010,11,
384,2310415,11,
384,2314404,11,
384,2320595,11,
384,2324740,11,
384,2325379,11,
384,2328208,11,
384,2331981,11,
384,2335113,11,
39152,2335323,5,
39152,2337606,5,
39152,2337628,5,
39152,2337657,5,
39152,2337730,5,
39491,2337913,2,
39491,2337938,2,
39492,2341251,1,
408,2350911,7,
408,2352693,7,
408,2362241,7,
408,2369219,7,
408,2375792,7,
408,2384987,7,
408,2385164,7,
43080,2385301,11,
43080,2395441,11,
43080,2400312,11,
43080,2422684,11,
43080,2426551,11,
43080,2427149,11,
43080,2433326,11,
43080,2449071,11,
43080,2465177,11,
43080,2468612,11,
43080,2478364,11,
43771,2484332,1,
470,2485519,39,
470,2488626,39,
470,2488635,39,
470,2489623,39,
470,2494190,39,
470,2494578,39,
470,2495334,39,
470,2506301,39,
470,2519002,39,
470,2522885,39,
470,2530683,39,
470,2535346,39,
470,2560222,39,
470,2560265,39,
470,2560282,39,
470,2572216,39,
470,2579188,39,
470,2586443,39,
470,2586647,39,
470,2606374,39,
470,2608832,39,
470,2616530,39,
470,2635572,39,
470,2646969,39,
470,2655201,39,
470,2658366,39,
470,2684606,39,
470,2692402,39,
470,2692570,39,
470,2695903,39,
470,2698137,39,
470,2702058,39,
470,2715000,39,
470,2722032,39,
470,2728308,39,
470,2729540,39,
470,2736272,39,
470,2736560,39,
470,2739625,39,
47715,2742531,5,
47715,2750834,5,
47715,2751266,5,
47715,2756919,5,
47715,2759263,5,
485,2759328,3,
485,2759457,3,
485,2759473,3,
487,2759510,13,
487,2759512,13,
487,2759835,13,
487,2759883,13,
487,2762785,13,
487,2763585,13,
487,2765477,13,
487,2773157,13,
487,2776517,13,
487,2776847,13,
487,2782313,13,
487,2788636,13,
487,2789538,13,
49338,2791729,1,
518,2799251,2,
518,2799802,2,
519,2802675,2,
519,2809422,2,
520,2810675,2,
520,2811435,2,
52584,2812165,3,
52584,2820462,3,
52584,2821361,3,
53399,2821452,1,
548,2824404,1,
550,2828958,5,
550,2832299,5,
550,2832478,5,
550,2832748,5,
550,2840185,5,
552,2846546,3,
552,2850503,3,
552,2861848,3,
