experiment,category,classifier,training shape,sample_length,coverage,k,max_depth,n_estimators,score,score type
3.02,multiclass,Random Forest,"(1653525, 4397343)",100,200,12,15,50,0.237241581,species_recall
3.02,multiclass,Random Forest,"(826762, 800)",200,200,1,15,50,0.449304048,species_recall
3.02,multiclass,Random Forest,"(826762, 1600)",200,200,2,15,50,0.269584393,species_recall
3.02,multiclass,Random Forest,"(826762, 12800)",200,200,4,15,50,0.237598597,species_recall
3.02,multiclass,Random Forest,"(826762, 135168)",200,200,6,15,50,0.236979755,species_recall
3.02,multiclass,Random Forest,"(826762, 1591902)",200,200,8,15,50,0.236680157,species_recall
3.02,multiclass,Random Forest,"(826762, 6243218)",200,200,10,15,50,0.236078505,species_recall
3.02,multiclass,Random Forest,"(826762, 6966512)",200,200,12,15,50,0.235845211,species_recall
3.02,multiclass,Random Forest,"(413412, 1600)",400,200,1,15,50,0.434280186,species_recall
3.02,multiclass,Random Forest,"(413412, 3200)",400,200,2,15,50,0.269636876,species_recall
3.02,multiclass,Random Forest,"(413412, 25600)",400,200,4,15,50,0.23747434,species_recall
3.02,multiclass,Random Forest,"(413412, 270336)",400,200,6,15,50,0.236256397,species_recall
3.02,multiclass,Random Forest,"(413412, 3052741)",400,200,8,15,50,0.236600171,species_recall
3.02,multiclass,Random Forest,"(413412, 9360304)",400,200,10,15,50,0.236909568,species_recall
3.02,multiclass,Random Forest,"(413412, 9963916)",400,200,12,15,50,0.236187642,species_recall
