experiment,category,classifier,training shape,sample_length,coverage,k,eta,epsilon,l2_penalty,score,score type
6.01,multiclass,Logistic Regression,"(10908, 51766)",100,200,12,0.01,0.01,0.1,0.8356903609973949,species_recall
6.01,multiclass,Logistic Regression,"(21817, 400)",100,400,1,0.01,0.01,1,0.180515492695636,species_recall
6.01,multiclass,Logistic Regression,"(21817, 400)",100,400,1,0.01,0.01,10,0.180515492695636,species_recall
6.01,multiclass,Logistic Regression,"(21817, 400)",100,400,1,0.01,0.01,100,0.180515492695636,species_recall
6.01,multiclass,Logistic Regression,"(21817, 400)",100,400,1,0.01,0.01,0.1,0.180515492695636,species_recall
6.01,multiclass,Logistic Regression,"(21817, 800)",100,400,2,0.01,0.01,1,0.4782730064203964,species_recall
6.01,multiclass,Logistic Regression,"(21817, 800)",100,400,2,0.01,0.01,10,0.2571880524797618,species_recall
6.01,multiclass,Logistic Regression,"(21817, 800)",100,400,2,0.01,0.01,100,0.21075649018330697,species_recall
6.01,multiclass,Logistic Regression,"(21817, 800)",100,400,2,0.01,0.01,0.1,0.451009584069973,species_recall
6.01,multiclass,Logistic Regression,"(21817, 6400)",100,400,4,0.01,0.01,1,0.8760584349120685,species_recall
6.01,multiclass,Logistic Regression,"(21817, 6400)",100,400,4,0.01,0.01,10,0.3272541174281195,species_recall
6.01,multiclass,Logistic Regression,"(21817, 6400)",100,400,4,0.01,0.01,100,0.4040197264352843,species_recall
6.01,multiclass,Logistic Regression,"(21817, 6400)",100,400,4,0.01,0.01,0.1,0.9390527589094632,species_recall
6.01,multiclass,Logistic Regression,"(21817, 46691)",100,400,6,0.01,0.01,1,0.9666883781520424,species_recall
6.01,multiclass,Logistic Regression,"(21817, 46691)",100,400,6,0.01,0.01,10,0.23662417418814552,species_recall
6.01,multiclass,Logistic Regression,"(21817, 46691)",100,400,6,0.01,0.01,100,0.23662417418814552,species_recall
