experiment,category,classifier,training shape,sample_length,coverage,k,penalty,multi_class,class_weight,score,score type
10.01,multiclass,Logistic Regression (sklearn),"(726, 16399)",200,1,12,l2,auto,balanced,0.2849162011173184,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(7043, 800)",200,10,1,l2,auto,balanced,0.23631123919308358,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(7043, 1600)",200,10,2,l2,auto,balanced,0.3207492795389049,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(7043, 12800)",200,10,4,l2,auto,balanced,0.4034582132564842,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(7043, 114383)",200,10,6,l2,auto,balanced,0.35821325648414987,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(7043, 214539)",200,10,8,l2,auto,balanced,0.28674351585014407,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(7043, 191379)",200,10,10,l2,auto,balanced,0.26772334293948125,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(7043, 154690)",200,10,12,l2,auto,balanced,0.28933717579250723,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(70255, 800)",200,100,1,l2,auto,balanced,0.24208184024968213,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(70255, 1600)",200,100,2,l2,auto,balanced,0.3114957808345856,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(70255, 12800)",200,100,4,l2,auto,balanced,0.5836897468500751,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(70255, 135119)",200,100,6,l2,auto,balanced,0.6265171656455901,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(70255, 962079)",200,100,8,l2,auto,balanced,0.601346665125419,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(70255, 1331848)",200,100,10,l2,auto,balanced,0.5174835279158478,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(70255, 1139636)",200,100,12,l2,auto,balanced,0.5165587793318691,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(140485, 800)",200,200,1,l2,auto,balanced,0.2452778379940747,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(140485, 1600)",200,200,2,l2,auto,balanced,0.3146470120673459,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(140485, 12800)",200,200,4,l2,auto,balanced,0.6887925428137871,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(140485, 135164)",200,200,6,l2,auto,balanced,0.7525977310499313,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(140485, 1178457)",200,200,8,l2,auto,balanced,0.7439265842907724,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(140485, 1965475)",200,200,10,l2,auto,balanced,0.6916395693330443,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(140485, 1731772)",200,200,12,l2,auto,balanced,0.6780692246549607,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(280971, 800)",200,400,1,l2,auto,balanced,0.2551142070540289,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(280971, 1600)",200,400,2,l2,auto,balanced,0.3240069658715649,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(280971, 12800)",200,400,4,l2,auto,balanced,0.754019466865141,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(280971, 135168)",200,400,6,l2,auto,balanced,0.8800627217481158,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(280971, 1308777)",200,400,8,l2,auto,balanced,0.8781911857156277,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(280971, 2525133)",200,400,10,l2,auto,balanced,0.8561446357730744,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(280971, 2280958)",200,400,12,l2,auto,balanced,0.8451611038449588,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(374, 1600)",400,1,1,l2,auto,balanced,0.2918918918918919,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(374, 3200)",400,1,2,l2,auto,balanced,0.3783783783783784,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(374, 21489)",400,1,4,l2,auto,balanced,0.2972972972972973,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(374, 31979)",400,1,6,l2,auto,balanced,0.21621621621621623,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(374, 26269)",400,1,8,l2,auto,balanced,0.2594594594594595,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(374, 21156)",400,1,10,l2,auto,balanced,0.22162162162162163,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(374, 17461)",400,1,12,l2,auto,balanced,0.2648648648648649,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(3531, 1600)",400,10,1,l2,auto,balanced,0.3201149425287356,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(3531, 3200)",400,10,2,l2,auto,balanced,0.39482758620689656,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(3531, 25600)",400,10,4,l2,auto,balanced,0.39022988505747125,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(3531, 174120)",400,10,6,l2,auto,balanced,0.33160919540229883,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(3531, 231164)",400,10,8,l2,auto,balanced,0.27413793103448275,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(3531, 196163)",400,10,10,l2,auto,balanced,0.26264367816091955,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(3531, 162704)",400,10,12,l2,auto,balanced,0.25287356321839083,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(35140, 1600)",400,100,1,l2,auto,balanced,0.30436792234804716,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(35140, 3200)",400,100,2,l2,auto,balanced,0.4509475387104229,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(35140, 25600)",400,100,4,l2,auto,balanced,0.578980818118789,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(35140, 269447)",400,100,6,l2,auto,balanced,0.5615322394268546,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(35140, 1370439)",400,100,8,l2,auto,balanced,0.47712040674832445,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(35140, 1577892)",400,100,10,l2,auto,balanced,0.4195169863646869,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(35140, 1355720)",400,100,12,l2,auto,balanced,0.4097527155072799,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(70255, 1600)",400,200,1,l2,auto,balanced,0.3071899202404346,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(70255, 3200)",400,200,2,l2,auto,balanced,0.4438215235232921,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(70255, 25600)",400,200,4,l2,auto,balanced,0.664518552768466,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(70255, 270241)",400,200,6,l2,auto,balanced,0.6715986591145532,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(70255, 1906895)",400,200,8,l2,auto,balanced,0.6200150271644896,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(70255, 2624438)",400,200,10,l2,auto,balanced,0.5407178360883135,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(70255, 2313529)",400,200,12,l2,auto,balanced,0.529389665934574,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(140485, 1600)",400,400,1,l2,auto,balanced,0.314488041043428,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(140485, 3200)",400,400,2,l2,auto,balanced,0.4505383336946311,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(140485, 25600)",400,400,4,l2,auto,balanced,0.7836259845364549,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(140485, 270321)",400,400,6,l2,auto,balanced,0.7916178914661464,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(140485, 2326775)",400,400,8,l2,auto,balanced,0.7631909820073705,species_recall
