experiment,category,classifier,training shape,sample_length,coverage,k,penalty,multiclass,class_weight,score,score type
5.02,multiclass,Logistic Regression (sklearn),"(29, 703)",200,1,12,l2,auto,,0.133333333,species_recall
5.01,multiclass,Logistic Regression (sklearn),"(274, 800)",200,10,1,l2,auto,,0.451851852,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(274, 1600)",200,10,2,l2,auto,,0.466666667,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(274, 9082)",200,10,4,l2,auto,,0.311111111,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(274, 11985)",200,10,6,l2,auto,,0.281481481,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(274, 9852)",200,10,8,l2,auto,,0.251851852,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(274, 7945)",200,10,10,l2,auto,,0.274074074,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(274, 6361)",200,10,12,l2,auto,,0.244444444,species_recall
5.01,multiclass,Logistic Regression (sklearn),"(2727, 800)",200,100,1,l2,auto,,0.595238095,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(2727, 1600)",200,100,2,l2,auto,,0.655505952,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(2727, 12772)",200,100,4,l2,auto,,0.70014881,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(2727, 60742)",200,100,6,l2,auto,,0.602678571,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(2727, 71903)",200,100,8,l2,auto,,0.537202381,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(2727, 60817)",200,100,10,l2,auto,,0.480654762,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(2727, 48991)",200,100,12,l2,auto,,0.472470238,species_recall
5.01,multiclass,Logistic Regression (sklearn),"(5454, 800)",200,200,1,l2,auto,,0.621138817,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(5454, 1600)",200,200,2,l2,auto,,0.77298102,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(5454, 12799)",200,200,4,l2,auto,,0.810941571,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(5454, 77930)",200,200,6,l2,auto,,0.760699665,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(5454, 108026)",200,200,8,l2,auto,,0.683662077,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(5454, 94148)",200,200,10,l2,auto,,0.668775586,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(5454, 76066)",200,200,12,l2,auto,,0.666914775,species_recall
5.01,multiclass,Logistic Regression (sklearn),"(10908, 800)",200,400,1,l2,auto,,0.629326386,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(10908, 1600)",200,400,2,l2,auto,,0.882396725,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(10908, 12800)",200,400,4,l2,auto,,0.922032006,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(10908, 88349)",200,400,6,l2,auto,,0.901563082,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(10908, 136646)",200,400,8,l2,auto,,0.872906587,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(10908, 121850)",200,400,10,l2,auto,,0.842203201,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(10908, 98704)",200,400,12,l2,auto,,0.853740231,species_recall
