experiment,category,classifier,training shape,sample_length,coverage,k,max_depth,n_estimators,score
1.13,multiclass,Random Forest,"(5454, 1600)",400,400,1,25,20,0.750651284
1.13,multiclass,Random Forest,"(5454, 1600)",400,400,1,10,25,0.749162635
1.13,multiclass,Random Forest,"(5454, 3200)",400,400,2,20,30,0.748790473
1.13,multiclass,Random Forest,"(5454, 1600)",400,400,1,10,20,0.747673986
1.13,multiclass,Random Forest,"(5454, 1600)",400,400,1,20,20,0.746929661
1.13,multiclass,Random Forest,"(5454, 3200)",400,400,2,20,25,0.743952363
1.13,multiclass,Random Forest,"(5454, 3200)",400,400,2,15,30,0.743580201
1.13,multiclass,Random Forest,"(5454, 3200)",400,400,2,15,25,0.734648307
1.13,multiclass,Random Forest,"(5454, 3200)",400,400,2,20,20,0.734648307
1.13,multiclass,Random Forest,"(5454, 1600)",200,200,2,25,45,0.733903982
1.13,multiclass,Random Forest,"(5454, 800)",200,200,1,25,45,0.730554522
1.13,multiclass,Random Forest,"(5454, 800)",200,200,1,15,45,0.729810197
1.13,multiclass,Random Forest,"(5454, 1600)",200,200,2,25,40,0.729065873
1.13,multiclass,Random Forest,"(5454, 1600)",200,200,2,25,35,0.726832899
1.13,multiclass,Random Forest,"(5454, 800)",200,200,1,20,45,0.723483439
1.13,multiclass,Random Forest,"(5454, 800)",200,200,1,25,40,0.722366952
1.13,multiclass,Random Forest,"(5454, 1600)",200,200,2,20,35,0.722366952
1.13,multiclass,Random Forest,"(5454, 1600)",200,200,2,25,30,0.721622627
1.13,multiclass,Random Forest,"(5454, 1600)",200,200,2,20,45,0.721250465
1.13,multiclass,Random Forest,"(5454, 800)",200,200,1,25,35,0.720506141
1.13,multiclass,Random Forest,"(5454, 3200)",400,400,2,15,20,0.719761816
1.13,multiclass,Random Forest,"(5454, 800)",200,200,1,15,40,0.719389654
1.13,multiclass,Random Forest,"(5454, 1600)",200,200,2,20,30,0.719389654
1.13,multiclass,Random Forest,"(5454, 800)",200,200,1,20,40,0.719017492
1.13,multiclass,Random Forest,"(5454, 800)",200,200,1,10,45,0.718645329
1.13,multiclass,Random Forest,"(5454, 1600)",200,200,2,15,45,0.718273167
1.13,multiclass,Random Forest,"(5454, 1600)",200,200,2,20,40,0.718273167
1.13,multiclass,Random Forest,"(5454, 800)",200,200,1,15,35,0.716784518
1.13,multiclass,Random Forest,"(5454, 800)",200,200,1,20,35,0.716412356
1.13,multiclass,Random Forest,"(5454, 800)",200,200,1,25,25,0.714923707
1.13,multiclass,Random Forest,"(5454, 1600)",200,200,2,15,40,0.714923707
1.13,multiclass,Random Forest,"(10908, 1600)",200,400,2,10,45,0.714551544
1.13,multiclass,Random Forest,"(5454, 800)",200,200,1,25,30,0.713435058
1.13,multiclass,Random Forest,"(5454, 1600)",200,200,2,25,25,0.713435058
1.13,multiclass,Random Forest,"(5454, 1600)",200,200,2,20,25,0.712690733
1.13,multiclass,Random Forest,"(5454, 800)",200,200,1,20,30,0.711202084
1.13,multiclass,Random Forest,"(5454, 800)",200,200,1,10,40,0.710829922
1.13,multiclass,Random Forest,"(5454, 800)",200,200,1,15,30,0.710829922
1.13,multiclass,Random Forest,"(10908, 1600)",200,400,2,10,40,0.710643841
1.13,multiclass,Random Forest,"(5454, 1600)",200,200,2,20,20,0.71045776
1.13,multiclass,Random Forest,"(5454, 800)",200,200,1,10,35,0.710085597
1.13,multiclass,Random Forest,"(5454, 1600)",200,200,2,15,35,0.707852624
1.13,multiclass,Random Forest,"(5454, 800)",200,200,1,10,30,0.707480461
1.13,multiclass,Random Forest,"(5454, 800)",200,200,1,15,25,0.706736137
1.13,multiclass,Random Forest,"(5454, 800)",200,200,1,20,25,0.706736137
1.13,multiclass,Random Forest,"(5454, 800)",200,200,1,25,20,0.704875326
1.13,multiclass,Random Forest,"(5454, 800)",200,200,1,20,20,0.703758839
1.13,multiclass,Random Forest,"(5454, 800)",200,200,1,10,25,0.703386677
1.13,multiclass,Random Forest,"(10908, 1600)",200,400,2,10,35,0.702828433
1.13,multiclass,Random Forest,"(5454, 1600)",200,200,2,25,20,0.702642352
1.13,multiclass,Random Forest,"(5454, 800)",100,100,2,25,45,0.700781541
1.13,multiclass,Random Forest,"(5454, 800)",100,100,2,25,40,0.700037216
1.13,multiclass,Random Forest,"(5454, 400)",100,100,1,15,45,0.699292892
1.13,multiclass,Random Forest,"(5454, 800)",100,100,2,25,30,0.698920729
1.13,multiclass,Random Forest,"(5454, 800)",100,100,2,25,35,0.69743208
1.13,multiclass,Random Forest,"(5454, 400)",100,100,1,25,40,0.696687756
1.13,multiclass,Random Forest,"(5454, 800)",200,200,1,15,20,0.695943431
1.13,multiclass,Random Forest,"(21817, 800)",100,400,2,10,45,0.69582209
1.13,multiclass,Random Forest,"(5454, 400)",100,100,1,25,45,0.695571269
1.13,multiclass,Random Forest,"(5454, 400)",100,100,1,10,45,0.694454782
1.13,multiclass,Random Forest,"(5454, 400)",100,100,1,15,40,0.694454782
1.13,multiclass,Random Forest,"(5454, 400)",100,100,1,20,45,0.694454782
1.13,multiclass,Random Forest,"(5454, 400)",100,100,1,15,30,0.69408262
1.13,multiclass,Random Forest,"(5454, 400)",100,100,1,20,40,0.693710458
1.13,multiclass,Random Forest,"(5454, 800)",200,200,1,10,20,0.693710458
1.13,multiclass,Random Forest,"(5454, 400)",100,100,1,15,35,0.693338295
1.13,multiclass,Random Forest,"(5454, 400)",100,100,1,10,40,0.692593971
1.13,multiclass,Random Forest,"(5454, 800)",100,100,2,20,40,0.692221809
1.13,multiclass,Random Forest,"(5454, 1600)",200,200,2,15,30,0.692221809
