experiment,classifier,training_shape,sample_length,coverage,k,C,score,score_type
6.01,Linear SVC,"(21817, 46669)",100,400,6,0.1,0.9687354610589002,species_recall
6.01,Linear SVC,"(21817, 46669)",100,400,6,1,0.9683632641667442,species_recall
6.01,Linear SVC,"(21817, 46669)",100,400,6,10,0.9680841164976273,species_recall
6.01,Linear SVC,"(21817, 46669)",100,400,6,100,0.9683632641667442,species_recall
6.01,Linear SVC,"(21817, 77733)",100,400,8,0.01,0.9616637201079371,species_recall
6.01,Linear SVC,"(21817, 77733)",100,400,8,0.1,0.9602679817623523,species_recall
6.01,Linear SVC,"(21817, 77733)",100,400,8,1,0.9601749325393133,species_recall
6.01,Linear SVC,"(21817, 77733)",100,400,8,10,0.9604540802084303,species_recall
6.01,Linear SVC,"(21817, 77733)",100,400,8,100,0.9604540802084303,species_recall
6.01,Linear SVC,"(21817, 73479)",100,400,10,0.01,0.9591513910858844,species_recall
6.01,Linear SVC,"(21817, 73479)",100,400,10,0.1,0.9589652926398065,species_recall
6.01,Linear SVC,"(21817, 73479)",100,400,10,1,0.9587791941937285,species_recall
6.01,Linear SVC,"(21817, 73479)",100,400,10,10,0.9587791941937285,species_recall
6.01,Linear SVC,"(21817, 73479)",100,400,10,100,0.9587791941937285,species_recall
6.01,Linear SVC,"(21817, 59681)",100,400,12,0.01,0.9611984739927422,species_recall
6.01,Linear SVC,"(21817, 59681)",100,400,12,0.1,0.9552433237182469,species_recall
6.01,Linear SVC,"(21817, 59681)",100,400,12,1,0.9552433237182469,species_recall
6.01,Linear SVC,"(21817, 59681)",100,400,12,10,0.9552433237182469,species_recall
6.01,Linear SVC,"(21817, 59681)",100,400,12,100,0.9552433237182469,species_recall
6.01,Linear SVC,"(29, 800)",200,1,1,0.01,0.3333333333333333,species_recall
6.01,Linear SVC,"(29, 800)",200,1,1,0.1,0.3333333333333333,species_recall
6.01,Linear SVC,"(29, 800)",200,1,1,1,0.3333333333333333,species_recall
6.01,Linear SVC,"(29, 800)",200,1,1,10,0.3333333333333333,species_recall
6.01,Linear SVC,"(29, 800)",200,1,1,100,0.3333333333333333,species_recall
6.01,Linear SVC,"(29, 1453)",200,1,2,0.01,0.26666666666666666,species_recall
6.01,Linear SVC,"(29, 1453)",200,1,2,0.1,0.2,species_recall
6.01,Linear SVC,"(29, 1453)",200,1,2,1,0.2,species_recall
6.01,Linear SVC,"(29, 1453)",200,1,2,10,0.2,species_recall
6.01,Linear SVC,"(29, 1453)",200,1,2,100,0.2,species_recall
6.01,Linear SVC,"(29, 1950)",200,1,4,0.01,0.2,species_recall
6.01,Linear SVC,"(29, 1950)",200,1,4,0.1,0.2,species_recall
6.01,Linear SVC,"(29, 1950)",200,1,4,1,0.2,species_recall
6.01,Linear SVC,"(29, 1950)",200,1,4,10,0.2,species_recall
6.01,Linear SVC,"(29, 1950)",200,1,4,100,0.2,species_recall
6.01,Linear SVC,"(29, 1437)",200,1,6,0.01,0.06666666666666667,species_recall
6.01,Linear SVC,"(29, 1437)",200,1,6,0.1,0.06666666666666667,species_recall
6.01,Linear SVC,"(29, 1437)",200,1,6,1,0.06666666666666667,species_recall
6.01,Linear SVC,"(29, 1437)",200,1,6,10,0.06666666666666667,species_recall
6.01,Linear SVC,"(29, 1437)",200,1,6,100,0.06666666666666667,species_recall
6.01,Linear SVC,"(29, 1098)",200,1,8,0.01,0.13333333333333333,species_recall
6.01,Linear SVC,"(29, 1098)",200,1,8,0.1,0.13333333333333333,species_recall
6.01,Linear SVC,"(29, 1098)",200,1,8,1,0.13333333333333333,species_recall
6.01,Linear SVC,"(29, 1098)",200,1,8,10,0.13333333333333333,species_recall
6.01,Linear SVC,"(29, 1098)",200,1,8,100,0.13333333333333333,species_recall
6.01,Linear SVC,"(29, 880)",200,1,10,0.01,0.2,species_recall
6.01,Linear SVC,"(29, 880)",200,1,10,0.1,0.2,species_recall
6.01,Linear SVC,"(29, 880)",200,1,10,1,0.06666666666666667,species_recall
6.01,Linear SVC,"(29, 880)",200,1,10,10,0.06666666666666667,species_recall
6.01,Linear SVC,"(29, 880)",200,1,10,100,0.06666666666666667,species_recall
6.01,Linear SVC,"(29, 704)",200,1,12,0.01,0.13333333333333333,species_recall
6.01,Linear SVC,"(29, 704)",200,1,12,0.1,0.13333333333333333,species_recall
6.01,Linear SVC,"(29, 704)",200,1,12,1,0.13333333333333333,species_recall
6.01,Linear SVC,"(29, 704)",200,1,12,10,0.13333333333333333,species_recall
6.01,Linear SVC,"(29, 704)",200,1,12,100,0.13333333333333333,species_recall
6.01,Linear SVC,"(274, 800)",200,10,1,0.01,0.4222222222222222,species_recall
6.01,Linear SVC,"(274, 800)",200,10,1,0.1,0.4074074074074074,species_recall
6.01,Linear SVC,"(274, 800)",200,10,1,1,0.4,species_recall
6.01,Linear SVC,"(274, 800)",200,10,1,10,0.4,species_recall
6.01,Linear SVC,"(274, 800)",200,10,1,100,0.4,species_recall
6.01,Linear SVC,"(274, 1600)",200,10,2,0.01,0.4444444444444444,species_recall
6.01,Linear SVC,"(274, 1600)",200,10,2,0.1,0.4444444444444444,species_recall
6.01,Linear SVC,"(274, 1600)",200,10,2,1,0.43703703703703706,species_recall
6.01,Linear SVC,"(274, 1600)",200,10,2,10,0.4444444444444444,species_recall
6.01,Linear SVC,"(274, 1600)",200,10,2,100,0.4444444444444444,species_recall
6.01,Linear SVC,"(274, 9146)",200,10,4,0.01,0.32592592592592595,species_recall
6.01,Linear SVC,"(274, 9146)",200,10,4,0.1,0.35555555555555557,species_recall
6.01,Linear SVC,"(274, 9146)",200,10,4,1,0.35555555555555557,species_recall
6.01,Linear SVC,"(274, 9146)",200,10,4,10,0.35555555555555557,species_recall
6.01,Linear SVC,"(274, 9146)",200,10,4,100,0.35555555555555557,species_recall
6.01,Linear SVC,"(274, 12104)",200,10,6,0.01,0.34814814814814815,species_recall
6.01,Linear SVC,"(274, 12104)",200,10,6,0.1,0.3333333333333333,species_recall
6.01,Linear SVC,"(274, 12104)",200,10,6,1,0.3333333333333333,species_recall
6.01,Linear SVC,"(274, 12104)",200,10,6,10,0.3333333333333333,species_recall
6.01,Linear SVC,"(274, 12104)",200,10,6,100,0.3333333333333333,species_recall
6.01,Linear SVC,"(274, 9946)",200,10,8,0.01,0.2222222222222222,species_recall
6.01,Linear SVC,"(274, 9946)",200,10,8,0.1,0.22962962962962963,species_recall
6.01,Linear SVC,"(274, 9946)",200,10,8,1,0.22962962962962963,species_recall
6.01,Linear SVC,"(274, 9946)",200,10,8,10,0.22962962962962963,species_recall
6.01,Linear SVC,"(274, 9946)",200,10,8,100,0.22962962962962963,species_recall
6.01,Linear SVC,"(274, 8028)",200,10,10,0.01,0.2518518518518518,species_recall
6.01,Linear SVC,"(274, 8028)",200,10,10,0.1,0.25925925925925924,species_recall
6.01,Linear SVC,"(274, 8028)",200,10,10,1,0.23703703703703705,species_recall
6.01,Linear SVC,"(274, 8028)",200,10,10,10,0.23703703703703705,species_recall
6.01,Linear SVC,"(274, 8028)",200,10,10,100,0.23703703703703705,species_recall
6.01,Linear SVC,"(274, 6430)",200,10,12,0.01,0.2222222222222222,species_recall
6.01,Linear SVC,"(274, 6430)",200,10,12,0.1,0.2222222222222222,species_recall
6.01,Linear SVC,"(274, 6430)",200,10,12,1,0.2222222222222222,species_recall
6.01,Linear SVC,"(274, 6430)",200,10,12,10,0.2222222222222222,species_recall
6.01,Linear SVC,"(274, 6430)",200,10,12,100,0.2222222222222222,species_recall
6.01,Linear SVC,"(2727, 800)",200,100,1,0.01,0.5453869047619048,species_recall
6.01,Linear SVC,"(2727, 800)",200,100,1,0.1,0.5282738095238095,species_recall
6.01,Linear SVC,"(2727, 800)",200,100,1,1,0.5305059523809523,species_recall
6.01,Linear SVC,"(2727, 800)",200,100,1,10,0.5238095238095238,species_recall
6.01,Linear SVC,"(2727, 800)",200,100,1,100,0.5193452380952381,species_recall
6.01,Linear SVC,"(2727, 1600)",200,100,2,0.01,0.6369047619047619,species_recall
6.01,Linear SVC,"(2727, 1600)",200,100,2,0.1,0.6235119047619048,species_recall
6.01,Linear SVC,"(2727, 1600)",200,100,2,1,0.6205357142857143,species_recall
6.01,Linear SVC,"(2727, 1600)",200,100,2,10,0.6190476190476191,species_recall
6.01,Linear SVC,"(2727, 1600)",200,100,2,100,0.6190476190476191,species_recall
6.01,Linear SVC,"(2727, 12776)",200,100,4,0.01,0.6636904761904762,species_recall
6.01,Linear SVC,"(2727, 12776)",200,100,4,0.1,0.6636904761904762,species_recall
6.01,Linear SVC,"(2727, 12776)",200,100,4,1,0.6584821428571429,species_recall
6.01,Linear SVC,"(2727, 12776)",200,100,4,10,0.6577380952380952,species_recall
6.01,Linear SVC,"(2727, 12776)",200,100,4,100,0.6577380952380952,species_recall
6.01,Linear SVC,"(2727, 61277)",200,100,6,0.01,0.5855654761904762,species_recall
6.01,Linear SVC,"(2727, 61277)",200,100,6,0.1,0.6004464285714286,species_recall
6.01,Linear SVC,"(2727, 61277)",200,100,6,1,0.5974702380952381,species_recall
6.01,Linear SVC,"(2727, 61277)",200,100,6,10,0.5982142857142857,species_recall
6.01,Linear SVC,"(2727, 61277)",200,100,6,100,0.5982142857142857,species_recall
6.01,Linear SVC,"(2727, 72820)",200,100,8,0.01,0.5141369047619048,species_recall
6.01,Linear SVC,"(2727, 72820)",200,100,8,0.1,0.5215773809523809,species_recall
6.01,Linear SVC,"(2727, 72820)",200,100,8,1,0.5208333333333334,species_recall
6.01,Linear SVC,"(2727, 72820)",200,100,8,10,0.5230654761904762,species_recall
6.01,Linear SVC,"(2727, 72820)",200,100,8,100,0.5230654761904762,species_recall
6.01,Linear SVC,"(2727, 61756)",200,100,10,0.01,0.4732142857142857,species_recall
6.01,Linear SVC,"(2727, 61756)",200,100,10,0.1,0.48586309523809523,species_recall
6.01,Linear SVC,"(2727, 61756)",200,100,10,1,0.48586309523809523,species_recall
6.01,Linear SVC,"(2727, 61756)",200,100,10,10,0.48586309523809523,species_recall
6.01,Linear SVC,"(2727, 61756)",200,100,10,100,0.48586309523809523,species_recall
6.01,Linear SVC,"(2727, 49788)",200,100,12,0.01,0.47023809523809523,species_recall
6.01,Linear SVC,"(2727, 49788)",200,100,12,0.1,0.47023809523809523,species_recall
6.01,Linear SVC,"(2727, 49788)",200,100,12,1,0.47023809523809523,species_recall
6.01,Linear SVC,"(2727, 49788)",200,100,12,10,0.47172619047619047,species_recall
6.01,Linear SVC,"(2727, 49788)",200,100,12,100,0.47172619047619047,species_recall
6.01,Linear SVC,"(5454, 800)",200,200,1,0.01,0.5653144771120209,species_recall
6.01,Linear SVC,"(5454, 800)",200,200,1,0.1,0.5712690733159658,species_recall
6.01,Linear SVC,"(5454, 800)",200,200,1,1,0.5720133978414589,species_recall
6.01,Linear SVC,"(5454, 800)",200,200,1,10,0.5303312244138444,species_recall
6.01,Linear SVC,"(5454, 800)",200,200,1,100,0.5161890584294753,species_recall
6.01,Linear SVC,"(5454, 1600)",200,200,2,0.01,0.7041310011164867,species_recall
6.01,Linear SVC,"(5454, 1600)",200,200,2,0.1,0.7268328991440268,species_recall
6.01,Linear SVC,"(5454, 1600)",200,200,2,1,0.7179010048381094,species_recall
6.01,Linear SVC,"(5454, 1600)",200,200,2,10,0.7063639746929661,species_recall
6.01,Linear SVC,"(5454, 1600)",200,200,2,100,0.7063639746929661,species_recall
6.01,Linear SVC,"(5454, 12799)",200,200,4,0.01,0.7878675102344622,species_recall
6.01,Linear SVC,"(5454, 12799)",200,200,4,0.1,0.7908448083364347,species_recall
6.01,Linear SVC,"(5454, 12799)",200,200,4,1,0.7889839970227019,species_recall
6.01,Linear SVC,"(5454, 12799)",200,200,4,10,0.7886118347599553,species_recall
6.01,Linear SVC,"(5454, 12799)",200,200,4,100,0.7886118347599553,species_recall
6.01,Linear SVC,"(5454, 78721)",200,200,6,0.01,0.7450688500186081,species_recall
6.01,Linear SVC,"(5454, 78721)",200,200,6,0.1,0.7592110160029772,species_recall
6.01,Linear SVC,"(5454, 78721)",200,200,6,1,0.7595831782657239,species_recall
6.01,Linear SVC,"(5454, 78721)",200,200,6,10,0.7595831782657239,species_recall
6.01,Linear SVC,"(5454, 78721)",200,200,6,100,0.7595831782657239,species_recall
6.01,Linear SVC,"(5454, 109771)",200,200,8,0.01,0.6780796427242277,species_recall
6.01,Linear SVC,"(5454, 109771)",200,200,8,0.1,0.6814291030889468,species_recall
6.01,Linear SVC,"(5454, 109771)",200,200,8,1,0.6844064011909192,species_recall
6.01,Linear SVC,"(5454, 109771)",200,200,8,10,0.6844064011909192,species_recall
6.01,Linear SVC,"(5454, 109771)",200,200,8,100,0.6844064011909192,species_recall
6.01,Linear SVC,"(5454, 95875)",200,200,10,0.01,0.6427242277633048,species_recall
6.01,Linear SVC,"(5454, 95875)",200,200,10,0.1,0.6457015258652773,species_recall
6.01,Linear SVC,"(5454, 95875)",200,200,10,1,0.6557499069594344,species_recall
6.01,Linear SVC,"(5454, 95875)",200,200,10,10,0.6557499069594344,species_recall
6.01,Linear SVC,"(5454, 95875)",200,200,10,100,0.6557499069594344,species_recall
6.01,Linear SVC,"(5454, 77450)",200,200,12,0.01,0.6531447711202084,species_recall
6.01,Linear SVC,"(5454, 77450)",200,200,12,0.1,0.6531447711202084,species_recall
6.01,Linear SVC,"(5454, 77450)",200,200,12,1,0.6542612579084481,species_recall
6.01,Linear SVC,"(5454, 77450)",200,200,12,10,0.6542612579084481,species_recall
6.01,Linear SVC,"(5454, 77450)",200,200,12,100,0.6542612579084481,species_recall
6.01,Linear SVC,"(10908, 800)",200,400,1,0.01,0.5898771864532937,species_recall
6.01,Linear SVC,"(10908, 800)",200,400,1,0.1,0.5947152958689989,species_recall
6.01,Linear SVC,"(10908, 800)",200,400,1,1,0.5945292147376257,species_recall
6.01,Linear SVC,"(10908, 800)",200,400,1,10,0.5517305545217714,species_recall
6.01,Linear SVC,"(10908, 800)",200,400,1,100,0.5329363602530703,species_recall
6.01,Linear SVC,"(10908, 1600)",200,400,2,0.01,0.760327502791217,species_recall
6.01,Linear SVC,"(10908, 1600)",200,400,2,0.1,0.7945664309639002,species_recall
6.01,Linear SVC,"(10908, 1600)",200,400,2,1,0.8209899516189059,species_recall
6.01,Linear SVC,"(10908, 1600)",200,400,2,10,0.8122441384443617,species_recall
