experiment,category,classifier,training shape,sample_length,coverage,k,penalty,multi_class,class_weight,score,score type
7.03,multiclass,Logistic Regression (sklearn),"(137, 3199)",400,10,2,none,auto,,0.4852941176470588,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(137, 12558)",400,10,4,none,auto,,0.3382352941176471,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(137, 12586)",400,10,6,none,auto,,0.3382352941176471,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(137, 10003)",400,10,8,none,auto,,0.1323529411764706,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(137, 8033)",400,10,10,none,auto,,0.22058823529411764,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(137, 6631)",400,10,12,none,auto,,0.23529411764705882,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(1364, 1600)",400,100,1,none,auto,,0.6835066864784547,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(1364, 3200)",400,100,2,none,auto,,0.7429420505200595,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(1364, 25059)",400,100,4,none,auto,,0.6716196136701337,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(1364, 80853)",400,100,6,none,auto,,0.512630014858841,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(1364, 81580)",400,100,8,none,auto,,0.4739970282317979,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(1364, 67552)",400,100,10,none,auto,,0.41901931649331353,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(1364, 55940)",400,100,12,none,auto,,0.4026745913818722,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(2727, 1600)",400,200,1,none,auto,,0.7842261904761905,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(2727, 3200)",400,200,2,none,auto,,0.7901785714285714,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(2727, 25514)",400,200,4,none,auto,,0.8050595238095238,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(2727, 117598)",400,200,6,none,auto,,0.6733630952380952,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(2727, 138154)",400,200,8,none,auto,,0.53125,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(2727, 116996)",400,200,10,none,auto,,0.5491071428571429,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(2727, 97172)",400,200,12,none,auto,,0.5639880952380952,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(5454, 1600)",400,400,1,none,auto,,0.8567175288425753,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(5454, 3200)",400,400,2,none,auto,,0.8730926684034239,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(5454, 25588)",400,400,4,none,auto,,0.9069594343133607,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(5454, 148288)",400,400,6,none,auto,,0.8131745441012281,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(5454, 200257)",400,400,8,none,auto,,0.7394864160774097,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(5454, 174176)",400,400,10,none,auto,,0.7078526237439524,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(5454, 145094)",400,400,12,none,auto,,0.7149237067361369,species_recall
